解肌透疹
泻热破瘀,散结消肿
解表散寒,温肺化饮
益气解表,理气化痰
助阳解表
温里散寒,通便止痛
泻热逐水
攻遂水饮
解肌清热
辛凉疏表,清肺平喘
润肠泄热,行气通便
宣利肺气,疏风止咳
疏散风寒,理气和中
发汗解表,宣肺平喘
疏风清热,宣肺止咳
攻下通便,补气养血
攻下冷积,温补脾阳
和解少阳
温肾益精,润肠通便
滋阴解表
辛凉透表,清热解毒
和解少阳,内泻热结
峻下热结
散寒祛湿,益气解表
清胆利湿,和胃化痰
开达膜原,辟秽化浊
透邪解郁,疏肝理脾
疏肝解郁,养血健脾
补脾柔肝,祛湿止泻
寒热平调,消痞散结
泻火通便,清上泄下
清热解毒,消肿溃坚,活血止痛
清营解毒,透热养阴
泻火解毒
清心利水养阴
清热生津,益气和胃
清热生津
清热解毒,疏风散邪
清热解毒,凉血散瘀
清泻肝胆实火,清利下焦湿热
发汗祛湿,兼清里热
解肌发表,调和营卫
解表散寒
清泻肝火,降逆止呕
清肺化痰,逐瘀排脓
清泻肺热,平喘止咳
清胃凉血
清胃热,滋肾阴
解表清里
清热燥湿,调气和血
清热解毒,凉血止痢
养阴透热
清虚热,退骨蒸
滋阴泻火,固表止汗
祛暑清热
清暑益气,养阴生津
清暑利湿
祛暑解表,化湿和中
清暑解热,化气利湿
温中祛寒,补气健脾
温中补虚,降逆止呕
温经散寒,养血通脉
回阳固脱,益气生脉
温中补虚,和里缓急
温阳补血,散寒通滞
回阳救逆
益气健脾
益气补血,健脾养心
补气生血
补血调血
益气固表止汗
益气健脾,渗湿止泻
补中益气,升阳举陷
益气生津,敛阴止汗
补脾疏肝,化湿止带
益气补血
益气滋阴,通阳复脉
滋补肝肾
滋阴补肾,填精益髓
滋阴降火
滋阴疏肝
补肾助阳
温补肾阳,填精益髓
滋肾阴,补肾阳,开窍化痰
滋阴填精,益气壮阳
益气固表,敛阴止汗
敛肺止咳,益气养阴
滋阴清热,固经止血
调补心肾,涩精止遗
温肾暖脾,固肠止泻
益气健脾,固冲摄血
涩精补肾
涩肠止泻,温中补虚
固肾清热,祛湿止带
镇心安神,清热养血
清热开窍,熄风镇痉
芳香开窍,行气止痛
化浊开窍,清热解毒
清热解毒,开窍醒神
滋阴清热,养血安神
养血安神,清热除烦
宣降肺气,清热化痰
温补肝肾,行气止痛
行气除满,温中燥湿
行气疏肝,散寒止痛
化痰散饮,和胃降逆
行气解郁
行气散结,降逆化痰
行气疏肝,活血止痛
通阳散结,祛痰下气
降气平喘,祛痰止咳
降逆化痰,益气和胃
降逆止呃,益气清热
补气,活血,通络
活血祛瘀,散结止痛
行气活血,祛湿化痰,软坚消癥
破血下瘀
活血化瘀,行气止痛
活血化瘀,缓消癥块
温经散寒,祛瘀养血
活血祛瘀,疏肝通络
养血袪瘀,温经止痛
凉血止血
清肝宁肺,凉血止血
凉血止血,利水通淋
清肠止血,疏风行气
温阳健脾,养血止血
平肝熄风,清热活血,补益肝肾
祛风化痰,通络止痉
祛风化痰止痉
疏风除湿,清热养血
疏风止痛
镇肝熄风,滋阴潜阳
祛风除湿,化痰通络,活血止痛
疏风清热,养血活血
燥湿运脾,行气和胃
清热利湿退黄
解表化湿,理气和中
利湿化浊,清热解毒
宣畅气机,清利湿热
清热泻火,利水通淋
清热化湿,理气和中
利湿清热,疏风止痛
利水渗湿,温阳化气
清热燥湿
利水养阴清热
益气祛风,健脾利水
利水消肿,理气健脾
温阳化饮,健脾利湿
温阳利水
温阳健脾,行气利水
温肾利湿,分清化浊
祛风胜湿止痛
祛风湿,止痹痛,益肝肾,补气血
养阴清肺,解毒利咽
养阴益胃
增液润燥
清燥润肺,养阴益气
清宣温燥,润肺化痰
轻宣凉燥,理肺化痰
滋养肺肾,止咳化痰
清养肺胃,降逆下气
燥湿化痰,理气和中
理气化痰,和胃利胆
清热化痰,理气止咳
温肺化痰,降气消食
清热化痰,宽胸散结
泻火逐痰
化痰熄风,健脾祛湿
温肺化饮
润肺清热,理气化痰
燥湿行气,软坚化痰
涤痰熄风,开窍安神
消导化积,清热利湿
消食和胃
分消酒湿,理气健脾
消痞除满,健脾和胃
健脾和胃,消食止泻
温脏安蛔
涌吐痰涎宿食
和胃降逆,开结除痞
健脾和胃,消食止泻
补肾助阳
疏风清热,宣肺止咳
清泻肺热,止咳平喘
通阳散结,行气祛痰
温阳化饮,健脾利湿
消食和胃,清热化湿
疏风止痛
养阴润肺,止咳化痰
清热生津
解表清里
行气散结,降逆化痰
发汗祛湿,兼清里热
温中祛寒,益气健脾
和解少阳,内泻热结
泻火通便,清上泄下
峻下热结
温肺化饮
补中益气,升阳举陷
清心养阴,利水通淋
芳香开窍,行气止痛
温阳健脾,养血止血
滋阴息风
解肌发表,调和营卫
温经散寒,养血通脉
燥湿化痰,理气和中
祛风湿,止痹痛,益肝肾,补气血
泻火解毒
清热开窍,化浊解毒
清热解毒,疏风散邪
补肾涩精
滋阴养血,补心安神
宣畅气机,清利湿热
解表化湿,理气和中
清胃热,滋肾阴
清热开窍,息风止痉
活血祛瘀,行气止痛
降逆化痰,益气和胃
回阳救逆
透邪解郁,疏肝理脾
发汗解表,宣肺平喘
燥湿运脾,行气和胃
润肠通便
化痰息风,健脾祛湿
泻热破瘀,散结消肿
清营解毒,透热养阴
泻肝胆实火,清下焦湿热
清热燥湿,调气和血
凉血止血
益气固表止汗
轻宣温燥,润肺止咳
疏肝解郁,行气止痛
益气补血
益气健脾
养阴透热
养血祛瘀,温经止痛
益气祛风,健脾利水
泻热通便,益气养血
辛凉疏表,清肺平喘
滋阴解表
清暑益气,养阴生津
解表散寒,温肺化饮
益气补血,健脾养心
益气健脾,固冲摄血
清胃凉血
补气,活血,通络
清肺化痰,逐瘀排脓
清热解毒,凉血止痢
益气健脾,渗湿止泻
润肺益胃,降逆下气
清热开窍,豁痰解毒
清热化痰,宽胸散结
清热解毒,凉血散瘀
凉血止血,利水通淋
利水渗湿,温阳化气
和解少阳
攻逐水饮
降气平喘,祛痰止咳
温中补虚,降逆止呕
透邪解郁,疏肝理脾
温阳补血,散寒通滞
疏风止痒,清热除湿
清热泻火,利水通淋
清热解毒,消肿溃坚,活血止痛
平肝息风,清热活血,补益肝肾
清暑利湿
温里散寒,通便止痛
补脾柔肝,祛湿止泻
镇肝息风,滋阴潜阳
辛凉透表,清热解毒
轻宣温润,止咳化痰
滋阴养血,益气复脉
清热,利湿,退黄
行气解郁
镇心安神,清热养阴
温阳利水
止咳化痰,宣肺疏表
发汗祛风,除湿止痛
